address,contract_type,impl_address,decimals,event_count,first_seen,last_seen
0x4325843383aaa446c93a7f13e5f09420eac92391,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-08,2022-08-05
0xb7abacc257e67931fb6f3761b1552d0cbee41590,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-11,2022-08-02
0xbd23294f556f74083359c1afa4d352044eeaafd6,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-08,2022-08-06
0x43b0938b4c52eaab64eee8d5050387a4bb0e2ebe,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-05-07,2022-10-04
0x235f23675fd003a23717f25aa16198a4f9f4a2ce,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-21,2022-09-21
0xf2a3224dac7ef39b710b5ded3c33ce8be225a219,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-07,2022-08-03
0x5f5e0d5f66669c0f37d8cfba848ef92a5fe61a50,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-21,2022-08-17
0xa948182c5ba0aa003c61aba8d7095f18d1a2ab8f,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-06-29,2022-11-28
0x633e4e82c257e8f10175ac5677735e06ecd00c20,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-29,2022-10-06
0xbbf666a71f8ef31a4f6df6b01973abde2d7e4f71,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-25,2022-08-22
0x7df5a2238c62e4b7e05238da1fbe4b6fbbe22770,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-02-23,2022-07-22
